User_ID,Age,Gender,Region,Education_Level,Course_Interested,Preferred_Device,Ad_Channel,Interest_Score,Visit_Date,Signup_Status,Signup_Date,Course_Enrolled,Plan_Type,Enrollment_Date,Course_Completion_Status,Monthly_Fee,Referral_Count,Satisfaction_Score
USER00027,24,Male,Rural Area,Graduate,Data Science,Mobile,Google Search,67,2023-12-08,Yes,2023-12-10,Yes,Elite,2023-12-17,Completed,2499,0,9
USER00028,52,Other,Tier-1 City,Diploma,Finance,Mobile,Instagram,88,2023-05-03,Yes,2023-05-07,Yes,Elite,2023-05-15,Completed,2499,0,6
USER00029,35,Male,Tier-1 City,High School,UI/UX Design,Desktop,Instagram,91,2024-10-08,Yes,2024-10-11,Yes,Pro,2024-10-16,Dropped,1799,1,10
USER00030,51,Female,Tier-2 City,Postgraduate,Entrepreneurship,Desktop,LinkedIn,57,2023-11-20,Yes,2023-11-24,No,,,,0,0,0
USER00031,44,Female,Rural Area,High School,Finance,Tablet,YouTube,53,2024-07-06,Yes,2024-07-07,No,,,,0,0,0
USER00032,23,Other,Rural Area,Graduate,Entrepreneurship,Desktop,Google Search,66,2023-12-27,Yes,2024-01-07,Yes,Pro,2024-01-11,In Progress,1799,1,10
USER00033,26,Male,Rural Area,Graduate,Digital Marketing,Desktop,Instagram,81,2024-09-23,Yes,2024-10-04,Yes,Basic,2024-10-07,In Progress,999,0,6
USER00034,54,Female,Tier-1 City,Diploma,UI/UX Design,Desktop,LinkedIn,94,2024-06-07,Yes,2024-06-07,Yes,Elite,2024-06-14,Completed,2499,2,6
USER00035,25,Male,Rural Area,High School,Data Science,Tablet,Facebook,26,2023-04-08,No,,No,,,,0,0,0
USER00036,34,Other,Tier-1 City,Graduate,Finance,Tablet,Google Search,65,2023-05-10,Yes,2023-05-19,Yes,Elite,2023-05-21,Completed,2499,1,7
USER00037,23,Male,Tier-2 City,High School,UI/UX Design,Desktop,Facebook,98,2024-02-28,Yes,2024-03-04,Yes,Pro,2024-03-09,Completed,1799,0,6
USER00038,31,Male,Tier-1 City,High School,UI/UX Design,Desktop,YouTube,34,2023-06-26,No,,No,,,,0,0,0
USER00039,16,Male,Rural Area,Diploma,Digital Marketing,Mobile,YouTube,26,2023-12-21,No,,No,,,,0,0,0
USER00040,28,Other,Tier-1 City,High School,Digital Marketing,Desktop,Google Search,4,2023-10-20,No,,No,,,,0,0,0
USER00041,33,Other,Tier-1 City,Diploma,UI/UX Design,Mobile,LinkedIn,36,2024-06-24,No,,No,,,,0,0,0
USER00042,27,Other,Tier-2 City,Diploma,Digital Marketing,Desktop,YouTube,69,2023-12-18,Yes,2023-12-18,Yes,Elite,2023-12-21,Completed,2499,1,7
USER00043,31,Other,Tier-2 City,Graduate,Data Science,Mobile,LinkedIn,40,2023-08-08,No,,No,,,,0,0,0
USER00044,49,Male,Tier-2 City,Postgraduate,Digital Marketing,Tablet,LinkedIn,63,2023-11-04,Yes,2023-11-11,Yes,Pro,2023-11-16,Completed,1799,0,9
USER00045,45,Female,Tier-2 City,Diploma,UI/UX Design,Desktop,Instagram,74,2023-05-10,Yes,2023-05-20,Yes,Elite,2023-05-22,Completed,2499,1,7
USER00046,40,Female,Tier-1 City,Graduate,Data Science,Desktop,Google Search,27,2023-02-27,No,,No,,,,0,0,0
USER00047,52,Male,Tier-2 City,High School,Data Science,Tablet,Instagram,0,2024-08-03,No,,No,,,,0,0,0
USER00048,35,Other,Tier-2 City,High School,Digital Marketing,Tablet,Facebook,85,2023-08-02,Yes,2023-08-05,Yes,Basic,2023-08-10,Dropped,999,0,7
USER00049,51,Male,Tier-2 City,Graduate,Digital Marketing,Desktop,Instagram,16,2024-09-20,No,,No,,,,0,0,0
USER00050,46,Other,Tier-1 City,Diploma,UI/UX Design,Desktop,Instagram,28,2024-08-11,No,,No,,,,0,0,0
USER00051,26,Male,Rural Area,Postgraduate,UI/UX Design,Mobile,YouTube,90,2024-09-17,Yes,2024-09-20,Yes,Elite,2024-09-26,Completed,2499,0,7
USER00052,36,Male,Tier-1 City,Postgraduate,Digital Marketing,Tablet,Facebook,28,2023-05-10,No,,No,,,,0,0,0
USER00053,43,Other,Tier-1 City,Diploma,UI/UX Design,Mobile,Google Search,19,2023-07-20,No,,No,,,,0,0,0
USER00054,24,Female,Tier-2 City,Postgraduate,Data Science,Mobile,YouTube,100,2024-08-04,Yes,2024-08-16,Yes,Pro,2024-08-17,Completed,1799,0,9
USER00055,38,Male,Rural Area,Diploma,UI/UX Design,Desktop,LinkedIn,70,2023-05-29,Yes,2023-06-05,Yes,Basic,2023-06-13,Completed,999,2,10
USER00056,42,Male,Tier-2 City,Graduate,UI/UX Design,Tablet,Instagram,82,2024-01-06,Yes,2024-01-20,Yes,Basic,2024-01-22,In Progress,999,2,6
USER00057,39,Male,Tier-1 City,Postgraduate,Entrepreneurship,Tablet,Instagram,43,2024-06-22,Yes,2024-07-03,No,,,,0,0,0
USER00058,53,Female,Tier-1 City,High School,Data Science,Desktop,Google Search,58,2024-08-18,Yes,2024-08-19,No,,,,0,0,0
USER00059,38,Female,Tier-1 City,High School,Digital Marketing,Desktop,Facebook,92,2024-05-18,Yes,2024-05-28,Yes,Basic,2024-06-06,Completed,999,3,9
USER00060,25,Female,Rural Area,Postgraduate,Digital Marketing,Tablet,Facebook,21,2023-09-02,No,,No,,,,0,0,0
USER00061,18,Other,Rural Area,High School,Entrepreneurship,Mobile,Instagram,76,2023-05-20,Yes,2023-06-01,Yes,Basic,2023-06-10,Completed,999,1,9
USER00062,34,Other,Rural Area,Postgraduate,Data Science,Desktop,Instagram,24,2024-01-16,No,,No,,,,0,0,0
USER00063,44,Other,Tier-1 City,Graduate,Digital Marketing,Mobile,Google Search,78,2023-08-02,Yes,2023-08-15,Yes,Elite,2023-08-19,Completed,2499,1,9
USER00064,27,Female,Tier-2 City,Diploma,Finance,Mobile,Facebook,99,2023-08-05,Yes,2023-08-12,Yes,Elite,2023-08-15,Completed,2499,0,10
USER00065,26,Male,Rural Area,Diploma,Finance,Desktop,LinkedIn,85,2023-01-14,Yes,2023-01-21,Yes,Elite,2023-01-23,Completed,2499,1,9
USER00066,46,Male,Tier-1 City,High School,Digital Marketing,Desktop,Facebook,67,2023-07-07,Yes,2023-07-16,Yes,Basic,2023-07-21,Dropped,999,2,9
USER00067,51,Male,Tier-2 City,Postgraduate,Digital Marketing,Desktop,YouTube,6,2023-11-05,No,,No,,,,0,0,0
USER00068,44,Female,Rural Area,Diploma,Digital Marketing,Tablet,YouTube,15,2024-06-08,No,,No,,,,0,0,0
USER00069,19,Male,Tier-1 City,Postgraduate,Data Science,Tablet,Google Search,20,2024-12-30,No,,No,,,,0,0,0
USER00070,35,Male,Rural Area,Postgraduate,Data Science,Mobile,YouTube,96,2023-08-22,Yes,2023-08-30,Yes,Elite,2023-09-08,Dropped,2499,0,10
USER00071,36,Female,Rural Area,Postgraduate,Digital Marketing,Tablet,Facebook,16,2023-11-19,No,,No,,,,0,0,0
USER00072,30,Other,Tier-2 City,Graduate,UI/UX Design,Mobile,Google Search,12,2024-12-02,No,,No,,,,0,0,0
USER00073,21,Other,Tier-1 City,High School,UI/UX Design,Tablet,YouTube,25,2023-01-29,No,,No,,,,0,0,0
USER00074,21,Female,Tier-2 City,Graduate,Finance,Tablet,LinkedIn,46,2024-09-13,Yes,2024-09-16,No,,,,0,0,0
USER00075,22,Other,Tier-1 City,High School,Digital Marketing,Mobile,Instagram,71,2023-11-06,Yes,2023-11-08,Yes,Basic,2023-11-13,Dropped,999,0,6
USER00076,40,Male,Tier-1 City,High School,Entrepreneurship,Mobile,LinkedIn,1,2024-12-23,No,,No,,,,0,0,0
USER00077,53,Female,Tier-2 City,Graduate,Finance,Tablet,Facebook,97,2024-03-18,Yes,2024-03-29,Yes,Basic,2024-04-06,Dropped,999,2,9
USER00078,23,Female,Rural Area,Graduate,Entrepreneurship,Desktop,YouTube,35,2023-11-05,No,,No,,,,0,0,0
USER00079,53,Female,Rural Area,Diploma,Finance,Desktop,Google Search,13,2024-05-25,No,,No,,,,0,0,0
USER00080,20,Other,Rural Area,Postgraduate,Finance,Tablet,Instagram,77,2023-03-05,Yes,2023-03-17,Yes,Pro,2023-03-19,Dropped,1799,1,8
USER00081,39,Male,Tier-1 City,Diploma,Finance,Tablet,LinkedIn,32,2024-03-30,No,,No,,,,0,0,0
USER00082,51,Female,Rural Area,Postgraduate,Finance,Mobile,Instagram,24,2024-05-09,No,,No,,,,0,0,0
USER00083,31,Other,Rural Area,Postgraduate,Finance,Desktop,LinkedIn,38,2024-04-20,No,,No,,,,0,0,0
USER00084,50,Other,Rural Area,Postgraduate,UI/UX Design,Tablet,YouTube,51,2024-12-11,Yes,2024-12-18,No,,,,0,0,0
USER00085,19,Other,Tier-2 City,High School,Entrepreneurship,Mobile,Facebook,39,2023-04-27,No,,No,,,,0,0,0
USER00086,34,Male,Tier-1 City,High School,Data Science,Tablet,Instagram,96,2023-04-19,Yes,2023-04-27,Yes,Elite,2023-05-04,Completed,2499,2,8
USER00087,29,Other,Rural Area,Graduate,Data Science,Mobile,LinkedIn,63,2023-01-11,Yes,2023-01-23,Yes,Elite,2023-01-31,Completed,2499,3,6
USER00088,19,Female,Tier-1 City,Diploma,Data Science,Desktop,YouTube,31,2024-04-10,No,,No,,,,0,0,0
USER00089,53,Male,Tier-2 City,High School,UI/UX Design,Desktop,Facebook,86,2023-09-28,Yes,2023-10-13,Yes,Elite,2023-10-13,Completed,2499,0,8
USER00090,45,Other,Tier-2 City,High School,UI/UX Design,Tablet,Instagram,40,2024-05-20,No,,No,,,,0,0,0
USER00091,38,Other,Tier-1 City,Graduate,Digital Marketing,Tablet,Google Search,95,2024-11-01,Yes,2024-11-03,Yes,Basic,2024-11-10,Dropped,999,2,9
USER00092,37,Female,Rural Area,Diploma,Data Science,Tablet,LinkedIn,30,2024-03-13,No,,No,,,,0,0,0
USER00093,37,Male,Tier-2 City,Diploma,Digital Marketing,Mobile,Google Search,54,2023-07-18,Yes,2023-07-29,No,,,,0,0,0
USER00094,33,Female,Rural Area,Graduate,Finance,Tablet,Google Search,94,2024-09-10,Yes,2024-09-21,Yes,Elite,2024-09-30,In Progress,2499,1,9
USER00095,39,Male,Tier-2 City,Postgraduate,UI/UX Design,Mobile,Instagram,70,2023-01-08,Yes,2023-01-09,Yes,Pro,2023-01-15,Completed,1799,0,6
USER00096,46,Male,Tier-1 City,High School,Data Science,Mobile,LinkedIn,97,2024-06-09,Yes,2024-06-24,Yes,Elite,2024-06-30,Completed,2499,0,6
USER00097,52,Male,Tier-2 City,High School,Data Science,Mobile,Google Search,67,2024-09-05,Yes,2024-09-16,Yes,Pro,2024-09-24,Completed,1799,1,10
USER00098,23,Male,Tier-2 City,Graduate,Finance,Mobile,Google Search,86,2023-05-09,Yes,2023-05-19,Yes,Elite,2023-05-19,Completed,2499,0,9
USER00099,36,Female,Rural Area,Graduate,Digital Marketing,Desktop,Instagram,78,2023-04-21,Yes,2023-05-03,Yes,Pro,2023-05-04,In Progress,1799,0,9
USER00100,43,Female,Tier-2 City,Postgraduate,Finance,Desktop,Facebook,40,2023-09-03,No,,No,,,,0,0,0
USER00101,27,Female,Rural Area,High School,UI/UX Design,Desktop,Instagram,89,2023-10-28,Yes,2023-11-01,Yes,Pro,2023-11-10,Completed,1799,1,10
USER00102,21,Male,Tier-2 City,Postgraduate,UI/UX Design,Tablet,YouTube,67,2024-07-01,Yes,2024-07-13,Yes,Pro,2024-07-20,Completed,1799,4,8
USER00103,38,Female,Tier-2 City,Graduate,Entrepreneurship,Tablet,YouTube,13,2024-04-07,No,,No,,,,0,0,0
USER00104,41,Female,Rural Area,Diploma,Entrepreneurship,Mobile,Google Search,64,2023-07-27,Yes,2023-08-09,Yes,Basic,2023-08-10,Dropped,999,1,9
USER00105,34,Male,Rural Area,Graduate,Data Science,Mobile,Instagram,42,2023-02-14,Yes,2023-02-20,No,,,,0,0,0
USER00106,29,Other,Rural Area,High School,Entrepreneurship,Desktop,Facebook,83,2023-02-06,Yes,2023-02-19,Yes,Pro,2023-02-27,In Progress,1799,2,9
USER00107,54,Female,Tier-1 City,Graduate,Entrepreneurship,Desktop,Google Search,66,2023-11-04,Yes,2023-11-18,Yes,Basic,2023-11-24,Completed,999,2,7
USER00108,19,Female,Rural Area,High School,Finance,Desktop,Facebook,13,2023-02-22,No,,No,,,,0,0,0
USER00109,30,Other,Tier-1 City,Diploma,UI/UX Design,Mobile,YouTube,2,2023-03-30,No,,No,,,,0,0,0
USER00110,39,Other,Tier-1 City,Graduate,UI/UX Design,Tablet,Facebook,52,2023-05-16,Yes,2023-05-18,No,,,,0,0,0
USER00111,29,Female,Rural Area,Diploma,Digital Marketing,Desktop,Google Search,71,2024-02-04,Yes,2024-02-05,Yes,Pro,2024-02-11,Completed,1799,2,10
USER00112,40,Female,Tier-2 City,Postgraduate,UI/UX Design,Tablet,Instagram,49,2023-11-01,Yes,2023-11-04,No,,,,0,0,0
USER00113,36,Female,Rural Area,Graduate,UI/UX Design,Mobile,YouTube,76,2023-09-12,Yes,2023-09-17,Yes,Pro,2023-09-17,Completed,1799,2,8
USER00114,16,Male,Tier-2 City,Postgraduate,Finance,Tablet,YouTube,22,2023-03-06,No,,No,,,,0,0,0
USER00115,45,Male,Tier-2 City,Diploma,Digital Marketing,Desktop,Instagram,68,2023-02-07,Yes,2023-02-08,Yes,Pro,2023-02-17,Completed,1799,0,9
USER00116,27,Female,Tier-2 City,High School,Entrepreneurship,Mobile,YouTube,4,2023-05-13,No,,No,,,,0,0,0
USER00117,43,Female,Rural Area,Diploma,Entrepreneurship,Mobile,Google Search,16,2023-12-09,No,,No,,,,0,0,0
USER00118,49,Female,Rural Area,Postgraduate,Finance,Desktop,LinkedIn,34,2023-12-29,No,,No,,,,0,0,0
USER00119,40,Male,Tier-1 City,Postgraduate,Entrepreneurship,Mobile,Facebook,7,2023-02-03,No,,No,,,,0,0,0
USER00120,52,Male,Tier-1 City,High School,Digital Marketing,Desktop,Google Search,4,2024-10-18,No,,No,,,,0,0,0
USER00121,54,Other,Tier-2 City,High School,Data Science,Tablet,Facebook,61,2024-11-24,Yes,2024-12-09,Yes,Basic,2024-12-11,In Progress,999,1,6
USER00122,25,Female,Rural Area,Postgraduate,Digital Marketing,Desktop,Instagram,32,2024-07-11,No,,No,,,,0,0,0
USER00123,19,Female,Rural Area,Diploma,Data Science,Tablet,Facebook,84,2024-03-21,Yes,2024-03-26,Yes,Elite,2024-03-31,In Progress,2499,2,9
USER00124,17,Male,Rural Area,Graduate,Data Science,Mobile,Facebook,86,2023-05-28,Yes,2023-05-29,Yes,Elite,2023-06-08,In Progress,2499,1,6
USER00125,31,Other,Rural Area,Postgraduate,Data Science,Tablet,YouTube,56,2023-10-17,Yes,2023-10-26,No,,,,0,0,0
USER00126,20,Male,Tier-2 City,High School,Data Science,Tablet,Facebook,15,2023-04-24,No,,No,,,,0,0,0
USER00127,20,Other,Tier-1 City,Graduate,UI/UX Design,Desktop,Instagram,66,2023-04-02,Yes,2023-04-03,Yes,Elite,2023-04-03,Completed,2499,0,8
USER00128,52,Male,Tier-2 City,Diploma,Digital Marketing,Mobile,Google Search,46,2023-08-13,Yes,2023-08-21,No,,,,0,0,0
USER00129,34,Male,Tier-2 City,High School,Data Science,Mobile,Google Search,4,2024-02-03,No,,No,,,,0,0,0
USER00130,30,Male,Tier-1 City,Graduate,Entrepreneurship,Mobile,Instagram,84,2024-10-02,Yes,2024-10-05,Yes,Elite,2024-10-14,Dropped,2499,1,7
USER00131,44,Female,Tier-1 City,Postgraduate,UI/UX Design,Desktop,YouTube,5,2024-03-16,No,,No,,,,0,0,0
USER00132,33,Male,Rural Area,Graduate,Finance,Tablet,LinkedIn,35,2023-09-12,No,,No,,,,0,0,0
USER00133,39,Other,Rural Area,Postgraduate,Finance,Desktop,YouTube,4,2023-09-17,No,,No,,,,0,0,0
USER00134,32,Female,Rural Area,Diploma,Entrepreneurship,Mobile,YouTube,51,2024-09-05,Yes,2024-09-18,No,,,,0,0,0
USER00135,22,Male,Tier-1 City,Graduate,UI/UX Design,Mobile,LinkedIn,12,2024-08-06,No,,No,,,,0,0,0
USER00136,23,Other,Tier-1 City,Graduate,UI/UX Design,Mobile,YouTube,25,2023-04-12,No,,No,,,,0,0,0
USER00137,36,Other,Tier-2 City,Diploma,Entrepreneurship,Desktop,Instagram,6,2023-09-17,No,,No,,,,0,0,0
USER00138,26,Female,Rural Area,Graduate,Entrepreneurship,Desktop,Google Search,84,2023-01-23,Yes,2023-01-23,Yes,Pro,2023-01-23,In Progress,1799,0,9
USER00139,48,Female,Tier-2 City,Graduate,Entrepreneurship,Mobile,LinkedIn,31,2023-08-04,No,,No,,,,0,0,0
USER00140,39,Male,Rural Area,Postgraduate,UI/UX Design,Desktop,YouTube,96,2024-03-09,Yes,2024-03-16,Yes,Elite,2024-03-18,Dropped,2499,1,8
USER00141,38,Male,Tier-1 City,Diploma,Finance,Tablet,LinkedIn,70,2023-12-04,Yes,2023-12-19,Yes,Basic,2023-12-24,In Progress,999,1,9
USER00142,37,Female,Rural Area,Diploma,Entrepreneurship,Tablet,YouTube,4,2024-01-31,No,,No,,,,0,0,0
USER00143,42,Male,Tier-2 City,Graduate,Finance,Desktop,Instagram,53,2023-05-24,Yes,2023-06-07,No,,,,0,0,0
USER00144,28,Female,Rural Area,High School,Finance,Tablet,Instagram,22,2023-09-26,No,,No,,,,0,0,0
USER00145,18,Other,Tier-1 City,Postgraduate,UI/UX Design,Mobile,Google Search,23,2023-11-30,No,,No,,,,0,0,0
USER00146,33,Other,Tier-1 City,Diploma,Entrepreneurship,Desktop,LinkedIn,69,2024-03-14,Yes,2024-03-17,Yes,Elite,2024-03-22,Completed,2499,2,6
USER00147,17,Male,Rural Area,Postgraduate,Data Science,Mobile,Instagram,5,2024-08-24,No,,No,,,,0,0,0
USER00148,41,Male,Tier-1 City,Diploma,Finance,Mobile,LinkedIn,91,2023-02-16,Yes,2023-02-23,Yes,Pro,2023-03-04,Completed,1799,2,7
USER00149,18,Female,Tier-1 City,Postgraduate,Data Science,Mobile,Facebook,42,2024-12-26,Yes,2025-01-08,No,,,,0,0,0
USER00150,32,Other,Tier-1 City,Postgraduate,Digital Marketing,Tablet,Instagram,16,2024-01-30,No,,No,,,,0,0,0
USER00151,18,Other,Tier-2 City,Diploma,Finance,Desktop,Facebook,19,2024-10-15,No,,No,,,,0,0,0
USER00152,40,Other,Tier-1 City,Postgraduate,UI/UX Design,Tablet,Facebook,62,2024-06-14,Yes,2024-06-21,Yes,Elite,2024-06-28,Completed,2499,1,7
USER00153,31,Male,Rural Area,Graduate,Data Science,Tablet,LinkedIn,93,2023-10-06,Yes,2023-10-17,Yes,Elite,2023-10-24,In Progress,2499,1,9
USER00154,45,Other,Tier-2 City,Diploma,Entrepreneurship,Tablet,Instagram,78,2023-05-26,Yes,2023-06-10,Yes,Pro,2023-06-11,Completed,1799,0,9
USER00155,22,Female,Rural Area,Graduate,Data Science,Tablet,LinkedIn,13,2023-03-04,No,,No,,,,0,0,0
USER00156,44,Other,Tier-2 City,High School,Data Science,Tablet,Google Search,92,2023-11-16,Yes,2023-11-17,Yes,Basic,2023-11-17,Completed,999,0,9
USER00157,38,Male,Rural Area,Graduate,Finance,Desktop,Facebook,55,2024-10-17,Yes,2024-10-20,No,,,,0,0,0
USER00158,36,Male,Tier-2 City,Postgraduate,Entrepreneurship,Desktop,LinkedIn,65,2024-04-25,Yes,2024-04-29,Yes,Elite,2024-05-05,Completed,2499,2,9
USER00159,41,Male,Rural Area,Diploma,Digital Marketing,Tablet,Facebook,12,2024-06-20,No,,No,,,,0,0,0
USER00160,49,Male,Rural Area,Graduate,Data Science,Tablet,LinkedIn,6,2024-07-24,No,,No,,,,0,0,0
USER00161,23,Female,Tier-1 City,Graduate,Finance,Desktop,LinkedIn,95,2023-12-26,Yes,2023-12-27,Yes,Basic,2023-12-27,In Progress,999,0,7
USER00162,24,Male,Rural Area,Graduate,Entrepreneurship,Desktop,Google Search,87,2024-02-20,Yes,2024-03-05,Yes,Basic,2024-03-10,Completed,999,0,6
USER00163,32,Female,Tier-2 City,Graduate,Data Science,Mobile,Instagram,69,2024-05-26,Yes,2024-06-08,Yes,Elite,2024-06-11,Completed,2499,0,10
USER00164,45,Other,Tier-1 City,Postgraduate,Entrepreneurship,Desktop,Facebook,70,2024-12-27,Yes,2025-01-03,Yes,Pro,2025-01-10,Completed,1799,0,6
USER00165,16,Other,Rural Area,High School,Digital Marketing,Desktop,YouTube,57,2024-11-27,Yes,2024-12-06,No,,,,0,0,0
USER00166,32,Male,Tier-1 City,Postgraduate,UI/UX Design,Tablet,Google Search,71,2024-05-15,Yes,2024-05-23,Yes,Pro,2024-06-01,Completed,1799,2,7
USER00167,54,Male,Tier-1 City,Graduate,Finance,Mobile,LinkedIn,77,2023-08-24,Yes,2023-08-26,Yes,Elite,2023-08-28,Dropped,2499,1,9
USER00168,51,Female,Tier-2 City,Postgraduate,Data Science,Tablet,YouTube,24,2023-12-08,No,,No,,,,0,0,0
USER00169,41,Male,Rural Area,Diploma,Entrepreneurship,Desktop,YouTube,10,2024-07-15,No,,No,,,,0,0,0
USER00170,47,Male,Tier-1 City,Diploma,Entrepreneurship,Tablet,YouTube,97,2023-10-13,Yes,2023-10-26,Yes,Pro,2023-11-02,In Progress,1799,2,10
USER00171,27,Male,Tier-1 City,Diploma,UI/UX Design,Tablet,Google Search,89,2024-12-08,Yes,2024-12-13,Yes,Pro,2024-12-15,Completed,1799,1,6
USER00172,24,Male,Tier-1 City,Graduate,Data Science,Mobile,YouTube,67,2023-07-26,Yes,2023-08-02,Yes,Elite,2023-08-11,Completed,2499,2,7
USER00173,27,Female,Tier-1 City,High School,UI/UX Design,Mobile,Facebook,17,2024-03-17,No,,No,,,,0,0,0
USER00174,28,Male,Rural Area,Postgraduate,Entrepreneurship,Tablet,Google Search,54,2023-06-13,Yes,2023-06-17,No,,,,0,0,0
USER00175,31,Other,Tier-1 City,Diploma,Finance,Desktop,LinkedIn,47,2023-11-07,Yes,2023-11-07,No,,,,0,0,0
USER00176,38,Other,Tier-2 City,Diploma,Digital Marketing,Desktop,Facebook,66,2023-11-28,Yes,2023-11-28,Yes,Basic,2023-12-02,Dropped,999,1,8
USER00177,53,Other,Rural Area,High School,Digital Marketing,Mobile,Google Search,17,2024-02-06,No,,No,,,,0,0,0
USER00178,18,Other,Tier-1 City,Diploma,UI/UX Design,Mobile,Google Search,61,2023-05-23,Yes,2023-06-04,Yes,Pro,2023-06-07,Completed,1799,1,7
USER00179,54,Other,Rural Area,Graduate,Data Science,Desktop,YouTube,9,2024-07-27,No,,No,,,,0,0,0
USER00180,17,Female,Tier-2 City,High School,UI/UX Design,Mobile,Google Search,73,2024-09-12,Yes,2024-09-27,Yes,Basic,2024-10-01,In Progress,999,0,9
USER00181,50,Male,Tier-2 City,High School,UI/UX Design,Mobile,Instagram,14,2023-04-07,No,,No,,,,0,0,0
USER00182,53,Other,Tier-2 City,Diploma,Digital Marketing,Mobile,Google Search,19,2023-04-08,No,,No,,,,0,0,0
USER00183,51,Other,Tier-1 City,Diploma,Digital Marketing,Tablet,LinkedIn,57,2024-03-24,Yes,2024-03-29,No,,,,0,0,0
USER00184,53,Other,Tier-1 City,Postgraduate,Finance,Mobile,Google Search,13,2024-12-02,No,,No,,,,0,0,0
USER00185,47,Other,Tier-1 City,Graduate,UI/UX Design,Tablet,YouTube,62,2024-11-08,Yes,2024-11-20,Yes,Pro,2024-11-22,Dropped,1799,3,10
